id,name_ar,name_en,muscle,equipment,category,note
"incline-treadmill-walk","مشي مائل على السير","Incline Treadmill Walk","cardio","machine","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"jump-rope","نط الحبل","Jump Rope","cardio","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"landmine-press","ضغط لاندماين","Landmine Press","shoulders","barbell","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"leg-swings","أرجحة الأرجل (إحماء)","Leg Swings","hamstrings","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"meadows-row","تجديف ميدوز","Meadows Row","back","barbell","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"mountain-climber","تسلق الجبل","Mountain Climber","core","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"nordic-curl","نوردك كيرل","Nordic Hamstring Curl","hamstrings","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"outdoor-walk","مشي خارجي","Outdoor Walk","cardio","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"pendlay-row","تجديف بندلاي","Pendlay Row","back","barbell","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"pike-push-up","ضغط بايك","Pike Push-Up","shoulders","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"rowing-machine","جهاز التجديف","Rowing Machine","cardio","machine","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"shoulder-dislocates","مرونة الكتف بالعصا/المطاط","Shoulder Dislocates","shoulders","band","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"single-arm-pushdown","دفع ترايسبس بذراع واحدة","Single-Arm Pushdown","triceps","cable","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"single-leg-hip-thrust","دفع الورك برجل واحدة","Single-Leg Hip Thrust","glutes","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"single-leg-rdl","رفعة رومانية برجل واحدة","Single-Leg RDL","hamstrings","dumbbell","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"stairmaster","جهاز الدرج (ستيرماستر)","Stairmaster","cardio","machine","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"stationary-bike","دراجة ثابتة","Stationary Bike","cardio","machine","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"thoracic-rotation","تدوير الفقرات الصدرية","Thoracic Rotation","back","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"toes-to-bar","أصابع للبار","Toes to Bar","core","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"treadmill-run","جري على السير","Treadmill Run","cardio","machine","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"wall-sit","جلسة الحائط","Wall Sit","quads","bodyweight","illustration","رسم حركة داخلي — يلزم تصوير حقيقي"
"chest-press-machine","جهاز ضغط الصدر","Chest Press Machine","chest","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"chest-supported-row-machine","تجديف بمسند صدر","Chest-Supported Row Machine","back","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"decline-chest-press-machine","جهاز ضغط صدر سفلي","Decline Chest Press Machine","chest","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"glute-kickback-machine","جهاز ركل خلفي","Glute Kickback Machine","glutes","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"glute-machine","جهاز الألوية","Glute Machine","glutes","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"hack-squat-machine","هاك سكوات جهاز","Hack Squat Machine","quads","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"hip-abduction-machine","جهاز مباعدة الأرجل","Hip Abduction Machine","glutes","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"hip-adductor-machine","جهاز ضم الفخذ","Hip Adductor Machine","glutes","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"incline-chest-press-machine","جهاز ضغط صدر علوي","Incline Chest Press Machine","chest","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"iso-lateral-chest-press","ضغط صدر أيزو-لاترال","Iso-Lateral Chest Press","chest","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"iso-lateral-high-row","تجديف عالي أيزو-لاترال","Iso-Lateral High Row","back","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"iso-lateral-incline-press","ضغط علوي أيزو-لاترال","Iso-Lateral Incline Press","chest","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"iso-lateral-pulldown","سحب أيزو-لاترال","Iso-Lateral Pulldown","back","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"lateral-raise-machine","جهاز رفرفة جانبية","Lateral Raise Machine","shoulders","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"preacher-curl-machine","جهاز مرجحة بايسبس","Preacher Curl Machine","biceps","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"rear-delt-row-machine","تجديف كتف خلفي","Rear Delt Row Machine","back","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"seated-calf-raise-machine","رفع بطات جالس","Seated Calf Raise Machine","calves","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"seated-leg-curl","ثني أرجل جالس","Seated Leg Curl","hamstrings","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"shoulder-press-machine","جهاز ضغط كتف","Shoulder Press Machine","shoulders","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"single-arm-lat-pulldown","سحب علوي بذراع واحدة","Single-Arm Lat Pulldown","back","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"standing-calf-raise-machine","رفع بطات واقف","Standing Calf Raise Machine","calves","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"standing-hip-extension-machine","مد ورك واقف","Standing Hip Extension Machine","glutes","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"standing-leg-curl","ثني أرجل واقف","Standing Leg Curl","hamstrings","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"triceps-extension-machine","جهاز مد ترايسبس","Triceps Extension Machine","triceps","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"wide-grip-iso-lateral-pulldown","سحب أيزو-لاترال واسع","Wide-Grip Iso-Lateral Pulldown","back","machine","diagram","رسم جهاز داخلي — تلزم لقطة جهاز مرخّصة"
"cable-hammer-curl","تمرير مطرقة كيبل (حبل)","Cable Hammer Curl","biceps","cable","near-variant","الصورة الحالية: مرجحة كيبل على مسند (preacher) — القبضة والمسند يختلفان"
"neutral-grip-pulldown","سحب قبضة محايدة","Neutral-Grip Pulldown","back","cable","near-variant","الصورة الحالية: سحب علوي واسع — القبضة تختلف"
